DATE,IPUHN44111T051000000
1988-01-01,2.5
1989-01-01,2.4
1990-01-01,1.2
1991-01-01,3.1
1992-01-01,3.1
1993-01-01,4.2
1994-01-01,4.1
1995-01-01,4.9
1996-01-01,1.8
1997-01-01,-0.4
1998-01-01,0.4
1999-01-01,0.1
2000-01-01,0.9
2001-01-01,0.6
2002-01-01,-1.8
2003-01-01,-2.4
2004-01-01,-2.1
2005-01-01,2.0
2006-01-01,0.5
2007-01-01,-1.1
2008-01-01,-0.7
2009-01-01,-0.5
2010-01-01,4.9
2011-01-01,3.2
2012-01-01,1.5
2013-01-01,0.3
2014-01-01,-0.1
2015-01-01,-0.1
2016-01-01,-0.6
2017-01-01,-1.2
2018-01-01,0.2
2019-01-01,0.9
2020-01-01,1.3
2021-01-01,10.2
2022-01-01,12.0
